,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
Senior Center Complaint,,,,,0.00011631964220117463,,,,,,,,,,,,,
Lead,0.00066353694678767327,0.00054240200661059379,0.0012908889213114117,0.0044998953531264346,0.00085091202738630492,0.074707826996848359,0.0015030563702713036,,0.0021486142909731671,,,,,,,,,
WATER LEAK,0.01331356430805165,0.0070640050967636248,,,0.017278720734912281,,0.037091013826748301,,0.021845042365129623,,,,,,,,,
Bus Stop Shelter Placement,,4.8788160930380602e-05,0.00010305704053087739,0.00057044921254348195,7.9180631868667724e-05,8.0518171523259751e-05,9.9667592674854065e-05,,0.00014677453465784557,,,,,,,,,
Found Property,0.00074301029551092368,,0.00080922447520529947,0.00072850671637913285,,0.021441650148532217,0.00098719451051482686,,0.0013639394326174169,0.0015083956678358177,0.001510132537602986,0.00029415316747322307,0.026898320400979447,0.00038102432506547339,0.0016724063055762622,0.001798511252559391,0.0023728905686421285,0.0004142746739341039
For Hire Vehicle Complaint,0.0014763942999871146,0.00066187040162172931,0.0013861920274897625,,0.0010440316292039107,0.0027984870669784216,0.0029977243950291507,,0.0023609907268800543,0.0036589472197314302,,,,0.000979304743800428,,,,
New Tree Request,,,,,,0.47224493755558306,,,,,,,,,,,,
Unsanitary Pigeon Condition,0.00045293113327272972,,0.00022291215993584749,0.0018054299350066015,0.00027841303775655085,0.034008669191899155,0.00048404470686925355,,,,,,,,,,,
Consumer Complaint,0.0069281479918776503,0.006943965142482811,0.0060063184336750916,0.011322155437734857,0.0063439906987049505,0.01466331112801054,0.016624601867567076,,0.010851847932786322,,,,,0.0053597286995200801,,,,
Other Enforcement,0.0015172383126449325,0.0035468616205120928,0.0018082776636263614,0.0033155880509779961,0.0027294855087982685,0.1623609941263468,0.0023431746344209125,0.0066441534806817729,0.0037450560782951413,,,,,,,,,
General Construction/Plumbing,0.0083693172509659054,,0.0084479342848189868,0.018462793558501143,0.0098708931897396671,0.9422250705579418,0.0098780371168892527,,0.016723773574897686,,,,,,,,,
Boilers,0.00085242231993208173,0.000373940890970244,0.00065434909371745115,,0.00095714769689621867,0.00098059519265995343,0.0022495483390611499,,0.0012572220139659526,,,,,,,,,
GENERAL,0.011937476791875207,0.0069590557952752992,0.011542095812877982,,0.016622295894887576,0.018276053257337083,0.038853381242192023,,0.022160221830756624,,,,,,,,,
Illegal Parking,0.01431962144947886,0.011027677232239672,0.030502481350548078,0.053727459856144466,0.036011371694368535,0.67871365839398812,,,,,,,,,,,,
Fire Alarm - Modification,,,,,,,,,,,,,,,,,,0.00029328221492198647
Request Xmas Tree Collection,,,,,,0.0054970417257484382,,,,,,,,,,,,
Dirty Conditions,0.0098634112809929952,0.0093166862050841539,0.016294223398242502,0.016404559134221501,0.013881082114471551,0.23479426616362287,0.046599183081152053,,,,,,,,,,,
PLUMBING,0.028614075537072934,0.015211925340321581,0.033016481032169961,,0.038184840664809067,0.043821560763679143,0.093040833526465194,,0.052611139459860103,,,,,,,,,
Noise - Residential,0.076811689440047265,0.072773471986243496,0.089647420688521065,0.32042630286201967,0.1016799742976974,0.11030836530514769,0.2076080438012296,,0.15388123656679814,,,,,,,,,
PAINT - PLASTER,0.006610916353975942,0.003043028360621832,,,0.0074665765095166476,,0.020618623226157935,,0.009917981242430006,,,,,,,,,
Water Quality,0.00094173673744269164,0.00024234661024065231,0.00038191587306333835,0.0006454682280249577,0.00060106992546186489,0.023259245130289784,0.00071665932823650408,,,,,,,,,,,
Non-Emergency Police Matter,,0.009599700553268609,,0.0041861542992989685,,0.12787754572316828,,,,,,,,,,,,
Urinating in Public,0.00024227534377891009,0.00015816381426462224,0.00024162633023802152,0.00057349394299330725,0.00017765445617510877,0.002503152389793698,0.00040939120233179915,,0.00033653065031113765,,,,,,,,,
Homeless Encampment,0.0045222378567823015,,0.0047380013001691347,,0.0015478185027304285,0.12038316913354451,0.0053339283196463701,,0.0073438272481889779,0.0080855351107865271,0.011205714645303885,0.00086831483592176976,,0.0030283591542360467,,0.020181083398993428,0.024409310001926025,0.0061968914462462426
