,age_residents,race_residents,typeof_household_residents,education_residents,ownorrent_residents,transportationtype_residents,income_residents,housing_values_residents,rent_residents,age_workers,race_workers,typeof_household_workers,education_workers,ownorrent_workers,transportationtype_workers,income_workers,housing_values_workers,rent_workers
Senior Center Complaint,,,,,renter occupied units,,,,,,,,,,,,,
Lead,population between 18 and 34,Population white,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,,,,,,
WATER LEAK,Population under 18,population black,,,renter occupied units,,household income less than 40,,rent less than 1000,,,,,,,,,
Bus Stop Shelter Placement,,Population white,nonfamily households,population education masters,owner  occupied units,transportation public,household income 75 and above,,rent 2000 or more,,,,,,,,,
Found Property,population between 18 and 34,,nonfamily households,population education bachelors,,tranportation motorcycle,household income 75 and above,,rent 2000 or more,population between 18 and 34_n,population other _n,nonfamily households_n,population education phd_n,renter occupied units_n,transportation public_n,household income less than 10_n,house value less than 100_n,rent less than 1000_n
For Hire Vehicle Complaint,population between 18 and 34,population other race,nonfamily households,,renter occupied units,Transportation Other means,household income less than 40,,rent 2000 or more,population between 35 to 64_n,,,,renter occupied units_n,,,,
New Tree Request,,,,,,tranportation motorcycle,,,,,,,,,,,,
Unsanitary Pigeon Condition,population 65 and over,,nonfamily households,population education phd,owner  occupied units,tranportation motorcycle,household income from 40 to 75,,,,,,,,,,,
Consumer Complaint,population between 18 and 34,population other race,nonfamily households,population education bachelors,renter occupied units,Transportation Other means,household income less than 40,,rent 2000 or more,,,,,renter occupied units_n,,,,
Other Enforcement,population between 18 and 34,population other race,nonfamily households,population education bachelors,owner  occupied units,tranportation motorcycle,household income 75 and above,house value 500 or more,rent 2000 or more,,,,,,,,,
General Construction/Plumbing,population between 35 to 64,,family households,population education bachelors,owner  occupied units,tranportation motorcycle,household income 75 and above,,rent 2000 or more,,,,,,,,,
Boilers,population between 18 and 34,population hispanic,nonfamily households,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
GENERAL,population between 18 and 34,population hispanic,family households,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Illegal Parking,population between 35 to 64,Population white,family households,population education masters,owner  occupied units,tranportation motorcycle,,,,,,,,,,,,
Fire Alarm - Modification,,,,,,,,,,,,,,,,,,rent 2000 or more_n
Request Xmas Tree Collection,,,,,,tranportation motorcycle,,,,,,,,,,,,
Dirty Conditions,population between 35 to 64,population other race,family households,population education high school or less,owner  occupied units,tranportation motorcycle,household income from 40 to 75,,,,,,,,,,,
PLUMBING,Population under 18,population hispanic,family households,,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
Noise - Residential,population between 18 and 34,population other race,family households,population education phd,renter occupied units,transportation public,household income less than 40,,rent less than 1000,,,,,,,,,
PAINT - PLASTER,Population under 18,population hispanic,,,renter occupied units,,household income less than 40,,rent less than 1000,,,,,,,,,
Water Quality,population 65 and over,Population white,nonfamily households,population education masters,owner  occupied units,tranportation motorcycle,household income from 40 to 75,,,,,,,,,,,
Non-Emergency Police Matter,,population other race,,population education masters,,tranportation motorcycle,,,,,,,,,,,,
Urinating in Public,population between 18 and 34,population other race,nonfamily households,population education phd,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,,,,,,,,,
Homeless Encampment,population between 18 and 34,,nonfamily households,,renter occupied units,tranportation motorcycle,household income less than 40,,rent 2000 or more,population between 18 and 34_n,population other _n,nonfamily households_n,,renter occupied units_n,,household income less than 10_n,house value less than 100_n,rent less than 1000_n
Non-Residential Heat,population between 18 and 34,,,,renter occupied units,Transportation Other means,,,rent 2000 or more,population between 35 to 64_n,,,,renter occupied units_n,,,,
Rodent,population between 18 and 34,population hispanic,family households,,renter occupied units,tranportation motorcycle,household income less than 40,,rent less than 1000,,,,,,,,,
Standing Water,,,,,,tranportation motorcycle,,,,,,,,,,,,
